date,brand,package,country,revenue_rank_tools,revenue_rank_apps,revenue_rank_overall,top_free_rank_tools,top_free_rank_apps,top_free_rank_overall,status,status_detail,source_url,crawl_time,page_loaded_screenshot,tooltip_frame_screenshot,retry_count,series_name,source_point_date_text,raw_x,raw_tooltip,ranking_metrics_json
2026-06-01,ugphone,com.tykeji.ugphone,IN,225,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=IN&tab=category_rankings,2026-06-22 10:25:15,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_IN_all_visible_20260622_102450_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_IN_all_visible_frame_009_2026-06-01_20260622_102456_462707.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,348.87,"Monday, Jun 1, 2026 UgPhone - Android Cloud Phone 收入排行 - 工具 #225","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""225"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,IT,178,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=IT&tab=category_rankings,2026-06-22 10:26:12,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_IT_all_visible_20260622_102545_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_IT_all_visible_frame_007_2026-06-01_20260622_102553_062233.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone - Android Cloud Phone 收入排行 - 工具 #178","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""178"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,JP,72,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=JP&tab=category_rankings,2026-06-22 10:21:39,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_JP_all_visible_20260622_102126_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_JP_all_visible_frame_009_2026-06-01_20260622_102130_093547.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone‐ユージーフォン・ゲーミングクラウドスマホ 收入排行 - 工具 #72","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""72"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,KR,45,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=KR&tab=category_rankings,2026-06-22 10:18:26,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_KR_all_visible_20260622_101802_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_KR_all_visible_frame_008_2026-06-01_20260622_101807_980321.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,348.87,"Monday, Jun 1, 2026 Ugphone 유지폰 안드로이드 클라우드 폰 收入排行 - 工具 #45","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""45"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,MX,120,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=MX&tab=category_rankings,2026-06-22 10:19:57,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_MX_all_visible_20260622_101945_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_MX_all_visible_frame_009_2026-06-01_20260622_101949_169120.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone-Cloud Phone 收入排行 - 工具 #120","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""120"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,MY,64,512,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=MY&tab=category_rankings,2026-06-22 10:15:02,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_MY_all_visible_20260622_101449_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_MY_all_visible_frame_009_2026-06-01_20260622_101453_304549.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone-Cloud Phone 收入排行 - 工具 #64 收入排行 - 应用 #512","{""revenue_rank_apps"": ""512"", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""64"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,PH,9,123,,483,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=PH&tab=category_rankings,2026-06-22 10:12:28,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_PH_all_visible_20260622_101214_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_PH_all_visible_frame_009_2026-06-01_20260622_101219_665678.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone - Android Cloud Phone 收入排行 - 工具 #9 收入排行 - 应用 #123 热门免费 - 工具 #483","{""revenue_rank_apps"": ""123"", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""9"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": ""483""}"
2026-06-01,ugphone,com.tykeji.ugphone,PL,91,,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=PL&tab=category_rankings,2026-06-22 10:22:42,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_PL_all_visible_20260622_102221_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_PL_all_visible_frame_008_2026-06-01_20260622_102227_192254.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone - Android Cloud Phone 收入排行 - 工具 #91","{""revenue_rank_apps"": """", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""91"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,SG,5,86,,,,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=SG&tab=category_rankings,2026-06-22 10:20:48,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_SG_all_visible_20260622_102029_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_SG_all_visible_frame_009_2026-06-01_20260622_102033_880760.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone - Android Cloud Phone 收入排行 - 工具 #5 收入排行 - 应用 #86","{""revenue_rank_apps"": ""86"", ""revenue_rank_overall"": """", ""revenue_rank_tools"": ""5"", ""top_free_rank_apps"": """", ""top_free_rank_overall"": """", ""top_free_rank_tools"": """"}"
2026-06-01,ugphone,com.tykeji.ugphone,TH,1,50,106,63,400,,SUCCESS,all rankings captured from exact forward date-column tooltip event,https://app.sensortower.com/overview/com.tykeji.ugphone?country=TH&tab=category_rankings,2026-06-22 10:10:38,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_TH_all_visible_20260622_101016_chart_viewport.png,C:\Users\Og\.codex\skills\competitor-monitor-dashboard-main\screenshots\history_range_all_visible_20260622_101000_35b722\history_ugphone_TH_all_visible_frame_007_2026-06-01_20260622_101026_091701.png,0,all tooltip ranking fields (strict forward date-column sweep),tooltip date equals current date column,350.90,"Monday, Jun 1, 2026 UgPhone-โปรแกรมจำลอง Android 收入排行 - 工具 #1 收入排行 - 应用 #50 热门免费 - 工具 #63 收入排行 - 总体 #106 热门免费 - 应用 #400","{""revenue_rank_apps"": ""50"", ""revenue_rank_overall"": ""106"", ""revenue_rank_tools"": ""1"", ""top_free_rank_apps"": ""400"", ""top_free_rank_overall"": """", ""top_free_rank_tools"": ""63""}"
